show_id,type,title,date_added,release_year,rating,duration,listed_in,description
s188,Movie,Adventures in Babysitting,25-Jun-21,1987,TV-PG,102 min,"Action-Adventure, Comedy, Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.
s189,TV Show,Running Wild with Bear Grylls,25-Jun-21,2019,TV-PG,2 Seasons,"Action-Adventure, Reality, Survival",Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.
s190,TV Show,The Mysterious Benedict Society,25-Jun-21,2021,TV-PG,1 Season,"Action-Adventure, Family",Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.
s191,Movie,Wolfgang,25-Jun-21,2021,TV-PG,80 min,"Biographical, Documentary",Wolfgang Puck persevered after a troubled childhood to become the world’s most famous chef.
s192,TV Show,Dino Ranch,18-Jun-21,2021,TV-Y,1 Season,"Animation, Kids, Western","Join the Cassidy family on their ""prewestoric"" farm!"
s193,TV Show,Disney Just Roll With It,18-Jun-21,2018,TV-Y7,2 Seasons,"Comedy, Family",This family's fate rests in the hands of the audience!
s194,TV Show,"Heartland Docs, DVM",18-Jun-21,2019,TV-14,3 Seasons,"Animals & Nature, Docuseries, Family",Heartland vets Ben and Erin Schroeder live and work among farmers in the Midwest.
s195,Movie,Luca,18-Jun-21,2021,PG,101 min,"Animation, Buddy, Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera."
s196,TV Show,Star Wars Vintage: Droids,18-Jun-21,1985,TV-Y7-FV,2 Seasons,"Action-Adventure, Animation, Fantasy",Share the early adventures of R2-D2 and C-3PO in this action-packed animated series!
s197,TV Show,Puppy Dog Pals,11-Jun-21,2016,TV-G,4 Seasons,"Animation, Kids",Two puppies are on a mission for fun and adventure!
s198,Movie,Strange Magic,11-Jun-21,2015,PG,101 min,"Action-Adventure, Animation, Family",A tough fairy princess crosses paths with the sinister Bog King.
s199,Movie,The Happiest Millionaire,11-Jun-21,1967,G,170 min,"Biographical, Coming of Age, Family",An immigrant finds a butler position in the home of a millionaire.
